model_sha256,model_name,task
ecbbe2eb47b015feb243dbd6af8a142fb213207af00e7f75e63ee4e5ee4d97e5,lite-model_yolo-v5-tflite_tflite_model_1.tflite,Image_object_detection
1a368fc3d1645756897213afea818e6f63f94e2cbd2599a783fa5b0ac290e06e,lite-model_efficientdet_lite3x_detection_metadata_1.tflite,Image_object_detection
82ebc4ac11dcf18619f68b083361f4d5bf9fa376351c769ecffedb128ef4d568,object_detection_mobile_object_localizer_v1_1_default_1.tflite,Image_object_detection
183afa66aad648b0dc16519ae1f55646d9cd38d2b544b917a9ab1da320ebed75,lite-model_efficientdet_lite1_detection_metadata_1.tflite,Image_object_detection
33a3b622c7cac0762f96089353cd61495f3e993968d133af7871bfc2d5396704,lite-model_efficientdet_lite0_int8_1.tflite,Image_object_detection
6fd32c84ab1eb0f7e7f3a7a20a20d7df1530daa8378728f7c79571096286bd52,lite-model_efficientdet_lite2_detection_metadata_1.tflite,Image_object_detection
cbdecd08b44c5dea3821f77c5468e2936ecfbf43cde0795a2729fdb43401e58b,lite-model_ssd_mobilenet_v1_1_metadata_2.tflite,Image_object_detection
b17218c2d9ca9d513378fff862f15af907276af309e6b141d564afe96b6c712c,lite-model_efficientdet_lite3_detection_metadata_1.tflite,Image_object_detection
0d9b3ffe97d6d9e78ac1632f4b63630f35e39c87d20349b648268d671c7730c5,lite-model_efficientdet_lite4_detection_metadata_2.tflite,Image_object_detection
c90cd8ccb177fe1967054bd8714d02fc2395f1ad7162fde4ec50173deed48072,lite-model_east-text-detector_int8_2.tflite,Image_object_detection
7a1550643cf034a4d813c0aa276976cd15da4141b4f1ec3631db1d0d9c8e2cd1,magenta_arbitrary-image-stylization-v1-256_int8_transfer_1.tflite,Image_style_transfer
3888ebafb3357cc51cbba85f05c8372d6b559087dc7f5f2f359c07fab694959a,lite-model_boundless-quarter_fp16_1.tflite,Image_style_transfer
1b0e3816f10f79e3ff92f4c3e6a94f8f5cd5a0305b6615a4a2ffc72f35c2ea13,lite-model_arbitrary-image-stylization-inceptionv3_int8_transfer_1.tflite,Image_style_transfer
3a9e937524838ce1b39907b4bd4b1ea7b0d7fa145d77cecb5990fb8f54195e36,lite-model_cartoongan_int8_1.tflite,Image_style_transfer
023e3584ad5dbefb3a2522075178a0fd7d6983aea625317f31fae685b2d3bec7,lite-model_arbitrary-image-stylization-inceptionv3-dynamic-shapes_int8_transfer_1.tflite,Image_style_transfer
6f118871f3ed1e4fd566e57881568c275f8fabf6cece6644ceae4fbe1751401d,lite-model_ASR_TFLite_pre_trained_models_English_1.tflite,Audio_Speech_to_Text
90fd1e6ced27a0a148f24ca7f3012e2871be8c82ad838ae7ab25f7d7454eb654,lite-model_models_mushroom-identification_v1_1.tflite,Image_classification
d6193af13e9a45abd5a7c0b134f6f348d53ff8dcf82e8339947548f7aa912725,mobilenet_v1_0.75_224_1_metadata_1.tflite,Image_classification
f0c8df5bc0de1fee3a53db904f600896b7b57eedea9afe422d9aed6f94669021,lite-model_on_device_vision_classifier_landmarks_classifier_north_america_V1_1.tflite,Image_classification
65b806ea145dc41b6cba4b8e1171992ea432b98667178def9408a58597660757,mobilenet_v1_0.25_160_quantized_1_metadata_1.tflite,Image_classification
9df60af7ab24d287a54668e845ea7da1c854086b828a4a4cf46c55c403095053,lite-model_imagenet_mobilenet_v3_small_100_224_classification_5_default_1.tflite,Image_classification
68d4128fac96e685d6cb7e85c8d9af401c401d5021fb7cbd85a6a01e34206fc8,efficientnet_lite1_int8_2.tflite,Image_classification
ecc3a67c47c5a609ec35f6a58a7d97532834e43df4cb7d3f1204a8164b7d20dd,mobilenet_v1_1.0_224_quantized_1_default_1.tflite,Image_classification
